Field Name,Task Status,# Tasks With Status,Percentage
Deep Well W-01,Complete,14,87.5
Deep Well W-01,In Progress,2,12.5
Deep Well W-02,Complete,12,66.66
Deep Well W-02,In Progress,6,33.33
Delta Ranch D-01,Complete,20,76.92
Delta Ranch D-01,In Progress,1,3.846
Delta Ranch D-01,To Do,5,19.23
Delta Ranch D-02,Complete,56,84.84
Delta Ranch D-02,Discarded,3,4.545
Delta Ranch D-02,In Progress,2,3.030
Delta Ranch D-02,Partially Complete,2,3.030
Delta Ranch D-02,To Do,3,4.545
Delta Ranch D-03,Complete,19,79.16
Delta Ranch D-03,Discarded,1,4.166
Delta Ranch D-03,To Do,4,16.66
Delta Ranch D-05N,Complete,12,75.0
Delta Ranch D-05N,Discarded,3,18.75
Delta Ranch D-05N,To Do,1,6.25
Delta Ranch D-05S,Complete,45,88.23
Delta Ranch D-05S,Discarded,3,5.882
Delta Ranch D-05S,Partially Complete,2,3.921
Delta Ranch D-05S,To Do,1,1.960
Delta Ranch D-05,Complete,1,50.0
Delta Ranch D-05,To Do,1,50.0
Delta Ranch D-06,Complete,26,92.85
Delta Ranch D-06,To Do,2,7.142
Delta Ranch D-07,Complete,13,86.66
Delta Ranch D-07,Discarded,1,6.666
Delta Ranch D-07,To Do,1,6.666
Delta Ranch D-08N,Complete,2,100.0
Delta Ranch D-09E Block #1,Complete,19,95.0
Delta Ranch D-09E Block #1,Discarded,1,5.0
Delta Ranch D-09E Block #2,Complete,19,95.0
Delta Ranch D-09E Block #2,Discarded,1,5.0
Delta Ranch D-09W,Complete,20,95.23
Delta Ranch D-09W,Discarded,1,4.761
Delta Ranch D-10,Complete,24,92.30
Delta Ranch D-10,To Do,2,7.692
Delta Ranch D-11,Complete,50,87.71
Delta Ranch D-11,Discarded,2,3.508
Delta Ranch D-11,Partially Complete,1,1.754
Delta Ranch D-11,To Do,4,7.017
Delta Ranch D-12,Complete,53,94.64
Delta Ranch D-12,To Do,3,5.357
Delta Ranch D-13,Complete,10,76.92
Delta Ranch D-13,In Progress,1,7.692
Delta Ranch D-13,To Do,2,15.38
Delta Ranch D-14,Complete,52,96.29
Delta Ranch D-14,To Do,2,3.703
Delta Ranch D-15,Complete,21,77.77
Delta Ranch D-15,To Do,6,22.22
Delta Ranch D-17,Complete,21,77.77
Delta Ranch D-17,In Progress,1,3.703
Delta Ranch D-17,To Do,5,18.51
Delta Ranch D-18 Block  #8,Complete,18,64.28
Delta Ranch D-18 Block  #8,In Progress,5,17.85
Delta Ranch D-18 Block  #8,To Do,5,17.85
Delta Ranch D-18 Block #10,Complete,17,68.0
Delta Ranch D-18 Block #10,In Progress,4,16.0
Delta Ranch D-18 Block #10,To Do,4,16.0
Delta Ranch D-18 Block #11,Complete,14,63.63
Delta Ranch D-18 Block #11,In Progress,4,18.18
Delta Ranch D-18 Block #11,To Do,4,18.18
Delta Ranch D-18 Block #12,Complete,10,55.55
Delta Ranch D-18 Block #12,In Progress,4,22.22
Delta Ranch D-18 Block #12,To Do,4,22.22
Delta Ranch D-18 Block #1,Complete,33,70.21
Delta Ranch D-18 Block #1,In Progress,7,14.89
Delta Ranch D-18 Block #1,To Do,7,14.89
Delta Ranch D-18 Block #2,Complete,32,71.11
Delta Ranch D-18 Block #2,In Progress,6,13.33
Delta Ranch D-18 Block #2,To Do,7,15.55
Delta Ranch D-18 Block #3,Complete,32,71.11
Delta Ranch D-18 Block #3,In Progress,6,13.33
Delta Ranch D-18 Block #3,To Do,7,15.55
Delta Ranch D-18 Block #4,Complete,28,75.67
Delta Ranch D-18 Block #4,In Progress,4,10.81
Delta Ranch D-18 Block #4,To Do,5,13.51
Delta Ranch D-18 Block #5,Complete,27,72.97
Delta Ranch D-18 Block #5,In Progress,5,13.51
Delta Ranch D-18 Block #5,To Do,5,13.51
Delta Ranch D-18 Block #6,Complete,22,68.75
Delta Ranch D-18 Block #6,In Progress,5,15.62
Delta Ranch D-18 Block #6,To Do,5,15.62
Delta Ranch D-18 Block #7,Complete,24,68.57
Delta Ranch D-18 Block #7,In Progress,6,17.14
Delta Ranch D-18 Block #7,To Do,5,14.28
Delta Ranch D-18 Block #9,Complete,16,66.66
Delta Ranch D-18 Block #9,In Progress,4,16.66
Delta Ranch D-18 Block #9,To Do,4,16.66
Delta Ranch D-18,To Do,1,100.0
Delta Ranch D-19 #08,To Do,1,100.0
Delta Ranch D-19 #09,To Do,1,100.0
Delta Ranch D-19 Block #10,Complete,20,71.42
Delta Ranch D-19 Block #10,In Progress,4,14.28
Delta Ranch D-19 Block #10,To Do,4,14.28
Delta Ranch D-19 Block #11,Complete,7,46.66
Delta Ranch D-19 Block #11,In Progress,4,26.66
Delta Ranch D-19 Block #11,To Do,4,26.66
Delta Ranch D-19 Block #1,Complete,33,70.21
Delta Ranch D-19 Block #1,In Progress,7,14.89
Delta Ranch D-19 Block #1,To Do,7,14.89
Delta Ranch D-19 Block #2,Complete,32,71.11
Delta Ranch D-19 Block #2,In Progress,6,13.33
Delta Ranch D-19 Block #2,To Do,7,15.55
Delta Ranch D-19 Block #3,Complete,31,72.09
Delta Ranch D-19 Block #3,In Progress,6,13.95
Delta Ranch D-19 Block #3,To Do,6,13.95
Delta Ranch D-19 Block #4,Complete,28,73.68
Delta Ranch D-19 Block #4,In Progress,5,13.15
Delta Ranch D-19 Block #4,To Do,5,13.15
Delta Ranch D-19 Block #5,Complete,26,72.22
Delta Ranch D-19 Block #5,In Progress,5,13.88
Delta Ranch D-19 Block #5,To Do,5,13.88
Delta Ranch D-19 Block #6,Complete,21,65.62
Delta Ranch D-19 Block #6,In Progress,6,18.75
Delta Ranch D-19 Block #6,To Do,5,15.62
Delta Ranch D-19 Block #7,Complete,17,65.38
Delta Ranch D-19 Block #7,In Progress,5,19.23
Delta Ranch D-19 Block #7,To Do,4,15.38
Delta Ranch D-19 Block #8,Complete,16,66.66
Delta Ranch D-19 Block #8,In Progress,4,16.66
Delta Ranch D-19 Block #8,To Do,4,16.66
Delta Ranch D-19 Block #9,Complete,16,66.66
Delta Ranch D-19 Block #9,In Progress,4,16.66
Delta Ranch D-19 Block #9,To Do,4,16.66
Delta Ranch D-23,Complete,13,100.0
Delta Ranch D-24,Complete,13,100.0
Delta Ranch D-25N,Complete,1,100.0
Delta Ranch D-26,Complete,44,88.0
Delta Ranch D-26,Discarded,2,4.0
Delta Ranch D-26,Partially Complete,2,4.0
Delta Ranch D-26,To Do,2,4.0
Delta Ranch D-27,Complete,4,66.66
Delta Ranch D-27,In Progress,1,16.66
Delta Ranch D-27,To Do,1,16.66
Delta Ranch D-28,Complete,15,93.75
Delta Ranch D-28,To Do,1,6.25
Delta Ranch D-29,Complete,5,71.42
Delta Ranch D-29,In Progress,1,14.28
Delta Ranch D-29,To Do,1,14.28
Elbon E-01 North,Complete,4,57.14
Elbon E-01 North,Discarded,1,14.28
Elbon E-01 North,Partially Complete,2,28.57
Elbon E-01 South,Complete,4,66.66
Elbon E-01 South,Discarded,1,16.66
Elbon E-01 South,Partially Complete,1,16.66
Elbon E-02,Complete,8,88.88
Elbon E-02,To Do,1,11.11
Elbon E-03,Complete,14,63.63
Elbon E-03,Discarded,2,9.090
Elbon E-03,In Progress,1,4.545
Elbon E-03,Partially Complete,2,9.090
Elbon E-03,To Do,3,13.63
Elbon E-04,Complete,16,66.66
Elbon E-04,Discarded,2,8.333
Elbon E-04,In Progress,1,4.166
Elbon E-04,Partially Complete,2,8.333
Elbon E-04,To Do,3,12.5
Elbon E-05,Complete,15,68.18
Elbon E-05,Discarded,1,4.545
Elbon E-05,In Progress,1,4.545
Elbon E-05,Partially Complete,2,9.090
Elbon E-05,To Do,3,13.63
Elbon E-06,Complete,24,82.75
Elbon E-06,Discarded,1,3.448
Elbon E-06,To Do,4,13.79
Elbon E-07,Complete,13,86.66
Elbon E-07,Discarded,2,13.33
Elbon E-08,Complete,16,72.72
Elbon E-08,Discarded,1,4.545
Elbon E-08,In Progress,2,9.090
Elbon E-08,To Do,3,13.63
Hereford H-01,Complete,6,75.0
Hereford H-01,In Progress,1,12.5
Hereford H-01,To Do,1,12.5
Hereford H-02,Complete,8,80.0
Hereford H-02,Discarded,1,10.0
Hereford H-02,In Progress,1,10.0
Hereford H-03,Complete,6,75.0
Hereford H-03,In Progress,1,12.5
Hereford H-03,To Do,1,12.5
Hereford H-04,Complete,6,66.66
Hereford H-04,In Progress,1,11.11
Hereford H-04,To Do,2,22.22
Hereford H-05,Complete,11,68.75
Hereford H-05,In Progress,2,12.5
Hereford H-05,To Do,3,18.75
Hereford H-06,Complete,12,70.58
Hereford H-06,Discarded,1,5.882
Hereford H-06,In Progress,1,5.882
Hereford H-06,To Do,3,17.64
Hereford H-07,Complete,6,75.0
Hereford H-07,In Progress,1,12.5
Hereford H-07,To Do,1,12.5
Hereford H-08,Complete,12,70.58
Hereford H-08,In Progress,2,11.76
Hereford H-08,To Do,3,17.64
Hereford H-09,Complete,7,58.33
Hereford H-09,In Progress,1,8.333
Hereford H-09,To Do,4,33.33
Hereford H-10,Complete,5,50.0
Hereford H-10,In Progress,1,10.0
Hereford H-10,To Do,4,40.0
Hereford H-11,Complete,6,54.54
Hereford H-11,In Progress,1,9.090
Hereford H-11,To Do,4,36.36
Hereford H-12,Complete,5,45.45
Hereford H-12,In Progress,2,18.18
Hereford H-12,To Do,4,36.36
Hereford H-13,Complete,6,50.0
Hereford H-13,In Progress,1,8.333
Hereford H-13,To Do,5,41.66
Hereford H-14,Complete,6,50.0
Hereford H-14,In Progress,1,8.333
Hereford H-14,To Do,5,41.66
Hereford H-15,Complete,5,45.45
Hereford H-15,In Progress,1,9.090
Hereford H-15,To Do,5,45.45
Hereford H-16 North,Complete,16,100.0
Hereford H-16 South,Complete,10,100.0
Hereford H-17,Complete,14,87.5
Hereford H-17,To Do,2,12.5
Hereford H-18,Complete,13,72.22
Hereford H-18,Discarded,1,5.555
Hereford H-18,In Progress,1,5.555
Hereford H-18,To Do,3,16.66
Hereford H-20 Field,Complete,5,100.0
Hereford H-20 Test Plot,Complete,8,100.0
Hereford H-22,Complete,4,57.14
Hereford H-22,In Progress,1,14.28
Hereford H-22,To Do,2,28.57
Hereford H-23,Complete,18,81.81
Hereford H-23,In Progress,2,9.090
Hereford H-23,To Do,2,9.090
Hereford H-24,Complete,17,77.27
Hereford H-24,In Progress,2,9.090
Hereford H-24,To Do,3,13.63
Hereford H-25N,Complete,11,84.61
Hereford H-25N,To Do,2,15.38
Hereford H-25S,Complete,12,85.71
Hereford H-25S,To Do,2,14.28
Hereford H-27,Complete,8,72.72
Hereford H-27,In Progress,1,9.090
Hereford H-27,To Do,2,18.18
Hereford H-28,Complete,6,66.66
Hereford H-28,In Progress,1,11.11
Hereford H-28,To Do,2,22.22
Kreyenhagen K-02,Complete,20,83.33
Kreyenhagen K-02,In Progress,2,8.333
Kreyenhagen K-02,To Do,2,8.333
Kreyenhagen K-03,Complete,24,82.75
Kreyenhagen K-03,Discarded,2,6.896
Kreyenhagen K-03,To Do,3,10.34
Kreyenhagen K-04,Complete,18,85.71
Kreyenhagen K-04,To Do,3,14.28
Kreyenhagen K-05,Complete,24,77.41
Kreyenhagen K-05,Discarded,2,6.451
Kreyenhagen K-05,To Do,5,16.12
