the_geom,property_name,name,area,stroke,stroke_width,marker_size,fill,fill_opacity,crop_name
0106000020E610000001000000010300000001000000100000009D25F18799315EC0051B95A399944240B3FBC01BB3315EC000018CE3179542401576ACADB3315EC080ABC82A1D954240EC01CA11F8315EC0E444A26D0895424018A8D60CFA315EC09D78946B06954240D8A51D69B6315EC0EDD8E7B5029442406A5719749F315EC051C9524EA8934240C25C207B9C315EC029A5B107A49342406EABD52E98315EC0F51C6870A19342408A08BD0696315EC0F51F04AAA0934240C756A73593315EC0AEC0EB8EA0934240ADD2270391315EC07134CB8EA293424067576B7282315EC06852D00EB4934240A719F78B7E315EC0775834DFB99342406330DA3E7F315EC01511EE63BF9342409D25F18799315EC0051B95A399944240,Elbon,E-08,95.4 acre,#FF0000,1,medium,#FF0000,0.8,Cotton Pima
0106000020E61000000100000001030000000100000008000000C9022670EB2C5EC0D1798D5DA28E4240C9022670EB2C5EC0D1798D5DA28E4240C93CF207032D5EC018265305A38E42409E4143FF042D5EC083DDB06D518E4240C2172653052D5EC091ED7C3F358E42402905DD5ED22C5EC0598B4F01308E424046B6F3FDD42C5EC08ACDC7B5A18E4240C9022670EB2C5EC0D1798D5DA28E4240,Las Animas,L-07EN Center,24.71 acre,#FF0000,1,medium,#FF0000,0.8,Cilantro
0106000020E6100000010000000103000000010000000500000069E388B5F8305EC044A852B3078E4240D46531B1F9305EC0520ABABDA48D4240F4FDD478E9305EC04BE5ED08A78D4240897B2C7DE8305EC020D26F5F078E424069E388B5F8305EC044A852B3078E4240,Delta Ranch,D-18 Block #3,7.2 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E610000003000000010300000001000000050000009487855AD32C5EC0D1AE42CA4F8E42403B70CE88D22C5EC035B56CAD2F8E42402905DD5ED22C5EC035B56CAD2F8E42405F46B1DCD22C5EC0BC0512143F8E42409487855AD32C5EC0D1AE42CA4F8E4240010300000001000000040000008CD651D5042D5EC03C31EBC5508E4240096D3997E22C5EC0185B0872508E42408CD651D5042D5EC083DDB06D518E42408CD651D5042D5EC03C31EBC5508E424001030000000100000005000000D482177D052D5EC0B5C35F93358E424097C5C4E6E32C5EC00ABABDA4318E424010AFEB17EC2C5EC0991249F4328E4240D482177D052D5EC0D99942E7358E4240D482177D052D5EC0B5C35F93358E4240,Las Animas,L-07E-Center,6.86 acre,#FF0000,1,medium,#FF0000,0.8,Cilantro
0106000020E6100000010000000103000000010000000A000000CD94F7EDBB2C5EC02092A5FF7A8F424011DA3883BB2C5EC0D589579B778F42403AFE3483722C5EC0590861246A8F4240902B163B712C5EC0CD21465BD78F4240E08B065B722C5EC0EA5C9366DA8F42405FE8B6E9742C5EC03C4D24A0DB8F42405A8E25E6B82C5EC0535BA804DD8F4240038871EDBA2C5EC06697DA18DC8F4240649B0AA7BB2C5EC0AE26F49FDA8F4240CD94F7EDBB2C5EC02092A5FF7A8F4240,Pick Anderson,P-45,36.1 acre,#FF0000,1,medium,#FF0000,0.8,Cantaloupe
0106000020E61000000100000001030000000100000014000000A333175552305EC0611FD765FC9142407530AC2C5B305EC0AA32633C1092424098F1DF515D305EC04FEF5EC5149242408464BFF665305EC02012957806924240F0E7EB6476305EC0DCD73F57F49142408D6C5B527D305EC05837203AEB91424060BCD52985305EC0973FD7A5E39142401CBCE9758F305EC084267088C49142402EBD896395305EC05F4B23C1AF914240480AB82996305EC0F0FC60E8AA91424008B962B193305EC0066433B0A3914240F25BD7DC8F305EC0B71DE06A99914240631C8E7467305EC0494D376042914240D22590D05E305EC0B1CCCFCB309142405B1F5A5459305EC0C2FE4696279142405A6585A655305EC0F4D55DF2229142404E26D13F3F305EC0D342F263069142407BE67A1538305EC0015E1390FE904240A363414002305EC0460168B53C914240A333175552305EC0611FD765FC914240,Hereford,H-27,92.7 acre,#FF0000,1,medium,#FF0000,0.8,Fallow
0106000020E6100000010000000103000000010000000E00000075043373532B5EC07E80CA3FFE92424077DA22AE7A2B5EC0A460846C62934240346DFB787D2B5EC0CB438FA86393424027D1EF00802B5EC02B9F50226193424073323019A62B5EC02D669A9E3E934240C132063BA52B5EC0DA22C5153A934240E9C2BB731C2B5EC0BD9BBA0EE291424021E001A5F32A5EC0C69E14717A9142409AE4833AF22A5EC0FA5FD9227B914240C7A8DCC1E12A5EC0EC669EDEAD914240051366F2D72A5EC06797535CBB914240EF66830DD72A5EC06DCF6433C0914240ED077DC2322B5EC00D27D3D4AA92424075043373532B5EC07E80CA3FFE924240,Pick Anderson,P-20,112.9 acre,#FF0000,1,medium,#FF0000,0.8,Cotton Pima
0106000020E6100000010000000103000000010000000F000000EC33A1879C2F5EC0973B54BAE48E4240BDC38AB69C2F5EC0FF6D0C9BC88E4240B2B7EEBD962F5EC0E7BEB246C78E42403AC634B2902F5EC01D99A86BC48E424023C6CF8A8A2F5EC0F215B049C28E4240238385AB882F5EC00BD16D37C28E42407B596EC77F2F5EC08A7AD346C88E4240DE9F8796742F5EC0C24AF833CE8E424008D4D8916C2F5EC0ABAEDC05D28E424007E1FE9D6A2F5EC0FB7E1AB3D48E424052E2886F6A2F5EC0732017E9E08E4240AC0CC6EA6A2F5EC016EE713CE98E42404A45687D982F5EC09AAF04B3E88E424008D7B8579C2F5EC02E87711EE88E4240EC33A1879C2F5EC0973B54BAE48E4240,Delta Ranch,D-09E,7.3 acre,#FF0000,1,medium,#FF0000,0.8,Tomato
0106000020E610000001000000010300000001000000050000000153164B8E2B5EC02623952A6B8C4240504E28488E2B5EC07CDAA4C6F88B4240BE20087C722B5EC025386F2AF08B424021D9157C722B5EC014F54293588C42400153164B8E2B5EC02623952A6B8C4240,Las Animas,Compost Site,13.8 acre,#00FF00,1,medium,#00FF00,0.8,
0106000020E6100000010000000103000000010000000500000009C4EBFA05315EC08A7615527E8E4240A987687407315EC0C3B645990D8E424010CCD1E3F7305EC07C0A80F10C8E4240B7B41A12F7305EC066A032FE7D8E424009C4EBFA05315EC08A7615527E8E4240,Delta Ranch,D-19 Block #4,7.80345 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
