Activity ID,Activity Type [attrib],Task Name,Due At,Completed At,Farm Name,Field Name,Field ID,Job Status
930935,ActualActivity,Cotton discing,,2018-08-03T14:16:42.720-06:00,Delta Ranch,D-06,416057,COMPLETE-NO-DUE-DATE-SET
931451,ActualActivity,In Furrow Chisel,,2018-08-03T16:07:28.079-06:00,Las Animas,L-01,416114,COMPLETE-NO-DUE-DATE-SET
931452,ActualActivity,check something,,2018-08-03T16:08:09.614-06:00,Delta Ranch,D-08N,416052,COMPLETE-NO-DUE-DATE-SET
933236,ActualActivity,Spreading- Chicken Manure,,2018-08-07T23:05:58.530-06:00,Deep Well,W-02,416013,IN-PROGRESS-NO-DUE-DATE-SET
933237,ActualActivity,Finish Disc,2018-10-31T13:00:00.000-06:00,2018-08-07T23:09:52.003-06:00,Deep Well,W-02,416013,COMPLETE-ON-TIME
933238,ActualActivity,Lister-12 Row,2018-11-01T13:00:00.000-06:00,2018-08-07T23:10:07.355-06:00,Deep Well,W-02,416013,COMPLETE-ON-TIME
933239,ActualActivity,Lilliston- 12 Row,2019-04-19T13:00:00.000-06:00,2018-08-07T23:10:19.813-06:00,Deep Well,W-02,416013,COMPLETE-ON-TIME
933240,ActualActivity,Planting- JD 12 Row Seeder,2019-04-20T13:00:00.000-06:00,2018-08-07T23:10:34.535-06:00,Deep Well,W-02,416013,COMPLETE-ON-TIME
933241,ActualActivity,Spreading- Chicken Manure,2018-10-30T13:00:00.000-06:00,2018-08-07T23:13:35.817-06:00,Deep Well,W-01,416012,COMPLETE-ON-TIME
933242,ActualActivity,Finish Disc,2018-10-31T13:00:00.000-06:00,2018-08-07T23:13:48.738-06:00,Deep Well,W-01,416012,COMPLETE-ON-TIME
933243,ActualActivity,Lister-12 Row,2018-11-01T13:00:00.000-06:00,2018-08-07T23:14:01.010-06:00,Deep Well,W-01,416012,COMPLETE-ON-TIME
934244,ActualActivity,Lilliston- 12 Row,,2018-08-09T13:06:41.943-06:00,Deep Well,W-01,416012,COMPLETE-NO-DUE-DATE-SET
934246,ActualActivity,Discing,,2018-08-09T13:07:36.357-06:00,Las Animas,L-04,416116,COMPLETE-NO-DUE-DATE-SET
934246,ActualActivity,Discing,,2018-08-09T13:07:36.357-06:00,Las Animas,L-05,415989,COMPLETE-NO-DUE-DATE-SET
934246,ActualActivity,Discing,,2018-08-09T13:07:36.357-06:00,Las Animas,L-09,415991,COMPLETE-NO-DUE-DATE-SET
934246,ActualActivity,Discing,,2018-08-09T13:07:36.357-06:00,Pick Anderson,P-26,416021,COMPLETE-NO-DUE-DATE-SET
960237,ActualActivity,,,2018-09-17T21:48:57.705-06:00,Las Animas,L-37,415996,COMPLETE-NO-DUE-DATE-SET
972931,ActualActivity,1st Cultivation,,2018-09-28T14:03:14.438-06:00,Pick Anderson,P-27,416025,COMPLETE-NO-DUE-DATE-SET
982281,ActualActivity,1st Cultivation,,2018-09-06T09:30:41.541-06:00,Delta Ranch,D-23,416128,COMPLETE-NO-DUE-DATE-SET
982281,ActualActivity,1st Cultivation,,2018-09-06T09:30:41.541-06:00,Delta Ranch,D-25N,416130,COMPLETE-NO-DUE-DATE-SET
989035,ActualActivity,Planting,,2018-10-27T18:40:24.000-06:00,Pick Anderson,P-17,416033,COMPLETE-NO-DUE-DATE-SET
989060,ActualActivity,Oregano Transplanting,,2018-10-26T18:00:11.000-06:00,Pick Anderson,P-17,416033,COMPLETE-NO-DUE-DATE-SET
996879,ActualActivity,Garlic Planting-OLAM,,2018-11-09T14:42:40.000-07:00,Pick Anderson,P-15,416036,COMPLETE-NO-DUE-DATE-SET
997050,ActualActivity,Laser leveling,,2018-11-09T19:38:24.000-07:00,Pick Anderson,P-42,416112,COMPLETE-NO-DUE-DATE-SET
997395,ActualActivity,Wheat Planting- Fallow,,2018-11-08T14:54:38.000-07:00,Delta Ranch,D-27,416136,COMPLETE-NO-DUE-DATE-SET
997415,ActualActivity,Wheat Planting- Fallow,,2018-11-08T18:16:44.000-07:00,Delta Ranch,D-29,416134,COMPLETE-NO-DUE-DATE-SET
